Date,Value,Anomaly
189506,75.8,0.2
189606,74.8,-0.8
189706,78.5,2.9
189806,79.1,3.5
189906,78.8,3.2
190006,75.3,-0.3
190106,77.2,1.6
190206,78.1,2.5
190306,70.2,-5.4
190406,75.8,0.2
190506,76.5,0.9
190606,76.5,0.9
190706,73.5,-2.1
190806,75.4,-0.2
190906,76.0,0.4
191006,72.6,-3.0
191106,78.4,2.8
191206,72.6,-3.0
191306,76.5,0.9
191406,82.2,6.6
191506,76.0,0.4
191606,74.2,-1.4
191706,74.7,-0.9
191806,78.0,2.4
191906,77.3,1.7
192006,74.8,-0.8
192106,79.8,4.2
192206,76.9,1.3
192306,75.7,0.1
192406,77.6,2.0
192506,80.5,4.9
192606,75.6,0.0
192706,75.0,-0.6
192806,73.3,-2.3
192906,75.4,-0.2
193006,75.1,-0.5
193106,78.1,2.5
193206,77.5,1.9
193306,76.8,1.2
193406,77.8,2.2
193506,73.2,-2.4
193606,79.1,3.5
193706,78.4,2.8
193806,74.1,-1.5
193906,76.9,1.3
194006,74.7,-0.9
194106,77.1,1.5
194206,77.3,1.7
194306,80.6,5.0
194406,79.0,3.4
194506,74.7,-0.9
194606,74.0,-1.6
194706,74.7,-0.9
194806,77.3,1.7
194906,75.8,0.2
195006,74.6,-1.0
195106,76.5,0.9
195206,81.7,6.1
195306,80.2,4.6
195406,76.7,1.1
195506,70.8,-4.8
195606,74.8,-0.8
195706,76.6,1.0
195806,75.7,0.1
195906,73.9,-1.7
196006,75.4,-0.2
196106,71.5,-4.1
196206,75.0,-0.6
196306,74.7,-0.9
196406,77.0,1.4
196506,74.3,-1.3
196606,73.2,-2.4
196706,74.6,-1.0
196806,75.2,-0.4
196906,75.6,0.0
197006,73.4,-2.2
197106,76.5,0.9
197206,72.6,-3.0
197306,75.5,-0.1
197406,70.6,-5.0
197506,74.3,-1.3
197606,72.4,-3.2
197706,76.0,0.4
197806,75.7,0.1
197906,73.2,-2.4
198006,75.4,-0.2
198106,77.3,1.7
198206,73.1,-2.5
198306,72.8,-2.8
198406,75.7,0.1
198506,75.2,-0.4
198606,76.5,0.9
198706,76.2,0.6
198806,75.9,0.3
198906,73.2,-2.4
199006,75.6,0.0
199106,75.6,0.0
199206,72.0,-3.6
199306,75.4,-0.2
199406,76.6,1.0
199506,73.1,-2.5
199606,75.2,-0.4
199706,71.7,-3.9
199806,78.9,3.3
199906,75.4,-0.2
200006,75.8,0.2
200106,73.4,-2.2
200206,76.1,0.5
200306,72.3,-3.3
200406,74.8,-0.8
200506,74.8,-0.8
200606,75.6,0.0
200706,77.6,2.0
200806,77.0,1.4
200906,77.4,1.8
201006,79.3,3.7
201106,78.8,3.2
201206,75.7,0.1
201306,76.1,0.5
201406,76.0,0.4
201506,77.7,2.1
201606,78.1,2.5
201706,74.3,-1.3
201806,77.4,1.8
201906,75.5,-0.1
