age,weight,sex
29,88,2
45,96,1
35,91,0
37,790,1
27,62,0
58,55,0
23,84,0
50,96,0
36,65,0
45,77,1
70,99,0
60,74,1
67,81,1
38,84,1
66,65,1
66,59,1
47,49,1
43,63,1
40,47,1
34,100,1
31,60,1
54,58,2
59,91,2
36,81,0
20,91,2
22,100,0
52,61,0
31,55,1
42,75,2
65,57,2
68,103,0
25,83,0
70,92,0
18,91,1
48,90,2
72,82,0
57,80,1
56,54,1
38,74,0
71,58,2
50,92,0
65,80,1
48,59,0
19,99,2
62,93,0
42,66,2
26,92,2
37,89,1
70,52,2
65,76,0
22,88,0
59,57,0
34,93,2
44,75,2
65,101,2
35,63,2
62,98,0
56,90,2
66,60,2
54,68,1
42,58,1
66,74,0
56,102,1
37,89,1
18,98,2
69,59,2
52,101,1
47,98,2
57,102,2
32,102,0
20,83,2
29,102,0
30,89,1
55,103,2
56,51,1
40,84,2
46,80,2
23,69,1
22,57,1
32,57,2
40,70,0
39,95,2
50,90,2
52,96,0
33,87,2
33,51,2
58,59,2
48,94,2
26,84,2
45,92,1
21,93,1
43,86,0
60,71,1
18,58,1
24,77,2
59,97,1
58,56,0
29,87,0
48,57,2
22,88,0
25,91,2
67,72,1
45,80,0
44,59,2
56,88,1
25,96,2
49,70,2
42,73,2
27,81,0
26,60,2
65,61,2
27,96,0
45,97,1
69,98,0
24,70,1
25,70,2
61,96,0
33,71,1
30,73,1
20,99,1
42,85,0
37,55,0
52,47,2
32,68,0
37,65,2
41,75,1
65,77,2
40,67,2
20,64,0
52,54,2
42,92,2
29,74,2
35,51,2
48,65,0
40,86,2
25,92,1
22,81,2
25,91,0
54,76,1
67,87,0
27,77,1
71,74,1
52,64,1
42,102,1
49,64,1
59,80,2
68,66,0
56,65,2
42,98,2
41,78,2
58,71,0
70,84,0
57,74,1
48,71,1
61,100,2
45,80,2
55,59,2
41,82,2
30,92,1
69,90,2
20,81,0
57,63,0
37,53,2
64,95,2
62,56,2
26,70,2
58,75,2
64,76,2
35,85,0
68,51,1
59,64,1
24,53,2
20,90,0
45,86,1
38,64,1
22,50,1
42,103,2
53,91,0
36,55,1
70,58,1
33,47,0
70,72,2
63,51,1
66,52,1
59,46,1
21,56,1
60,78,1
29,78,0
61,70,2
58,92,0
65,95,0
18,64,2
25,59,1
24,48,0
64,90,0
28,95,2
18,101,0
42,48,0
66,93,1
27,97,2
62,78,1
21,60,1
55,77,0
47,96,0
55,88,2
17,79,1
19,63,1
17,50,1
66,76,0
22,74,2
31,63,2
39,73,1
29,71,2
25,80,0
30,103,1
23,71,0
17,72,0
39,50,1
66,56,1
30,78,1
46,77,2
35,56,1
29,91,2
27,101,2
70,62,2
18,52,0
40,98,0
45,93,0
38,94,2
69,97,2
37,100,2
34,79,1
56,90,2
55,59,2
63,88,2
55,87,2
20,46,2
57,98,0
31,62,1
63,99,0
51,54,2
20,50,2
70,48,1
35,47,1
49,84,2
70,76,0
29,86,0
28,64,0
40,46,2
56,53,1
38,50,1
47,77,1
37,51,1
28,90,0
51,72,2
34,95,2
44,79,0
45,100,1
55,85,2
38,66,0
62,89,2
61,78,0
50,93,2
29,83,2
54,71,0
71,100,0
60,99,2
53,89,0
34,71,1
18,50,0
69,99,0
23,101,1
55,81,1
27,98,1
69,93,1
63,56,0
44,86,1
68,50,1
20,48,0
72,86,2
48,65,0
23,68,2
56,78,2
29,87,2
23,59,2
48,47,0
30,61,0
29,49,2
44,94,2
42,68,2
63,47,1
35,51,2
62,58,1
24,86,1
22,87,0
40,54,1
51,82,0
53,51,2
47,82,2
40,65,1
69,68,2
66,89,0
29,83,0
52,67,2
32,90,2
58,75,1
69,100,0
46,61,2
69,99,1
43,97,2
23,81,1
49,102,2
31,71,2
38,97,0
38,82,1
24,50,2
69,54,1
58,77,1
71,102,2
40,55,1
69,94,0
56,52,0
40,53,0
31,47,2
70,103,0
30,67,0
22,82,2
26,92,1
49,53,0
31,57,1
22,87,1
70,84,1
19,88,2
19,79,1
41,72,2
39,64,1
32,77,0
30,62,1
32,61,1
20,80,0
45,65,0
42,68,1
38,59,0
47,95,1
72,55,1
33,100,2
52,72,2
59,96,1
31,81,0
40,77,2
39,77,2
24,51,0
33,61,0
52,71,2
27,53,1
48,53,1
51,68,2
41,59,2
17,59,0
27,65,1
71,89,1
45,49,1
24,84,0
61,87,0
36,84,1
56,91,2
33,97,0
71,82,2
51,99,1
26,84,2
48,88,2
37,76,0
53,96,0
68,99,0
23,85,2
47,49,1
67,75,1
30,76,0
71,102,0
40,86,1
71,103,2
65,80,2
59,56,1
36,46,2
57,46,1
44,65,0
60,100,0
30,80,2
41,96,0
36,91,1
37,72,1
64,92,1
69,80,0
64,57,2
71,83,2
54,49,2
47,69,0
23,77,0
41,47,0
42,98,2
61,53,2
25,87,2
53,76,2
47,57,1
52,70,0
37,84,1
53,71,1
28,74,1
33,83,0
26,54,2
47,59,2
57,96,2
62,53,0
32,96,1
36,59,2
63,50,0
32,82,0
48,100,2
39,84,2
24,90,2
58,56,0
49,50,1
56,62,0
70,77,1
66,74,0
33,64,0
70,61,0
28,79,2
31,97,2
41,57,0
67,58,2
70,61,1
66,47,2
22,81,0
22,85,0
70,76,2
30,103,0
36,72,1
53,92,1
45,63,0
68,80,1
51,94,2
22,88,0
21,90,2
32,103,0
49,88,2
62,71,2
69,93,1
24,52,2
41,49,0
23,97,2
62,84,1
65,84,1
38,92,2
29,56,1
49,63,1
45,61,0
67,63,0
55,88,2
48,79,0
20,75,1
21,53,1
44,90,1
62,77,1
55,57,2
38,81,1
67,60,0
26,65,2
40,101,1
68,68,0
26,78,0
69,61,1
46,56,2
35,68,1
64,61,2
72,87,1
65,84,1
44,54,0
20,64,2
39,94,1
57,101,0
66,57,0
70,56,1
25,103,1
46,82,2
62,93,2
17,65,0
19,92,2
18,73,1
58,68,1
44,67,2
58,102,0
57,92,2
24,94,1
27,102,0
30,83,1
47,99,2
19,66,2
55,68,2
70,84,2
44,48,0
55,55,1
55,98,1
44,71,1
58,75,1
41,73,1
44,67,1
19,74,0
38,75,0
59,47,2
18,63,1
20,54,0
37,95,1
72,60,0
25,75,2
47,54,0
52,69,0
33,57,1
18,59,2
18,51,0
20,77,1
72,67,0
38,54,2
50,74,1
67,94,0
36,55,1
33,57,0
29,86,1
40,64,2
55,100,2
31,48,0
42,65,2
26,49,2
23,81,2
57,87,1
37,89,0
21,81,1
19,89,0
71,67,2
36,46,1
33,73,2
28,57,1
50,80,0
