HPI Rank	Country	Region	Life Expectancy (years)	Wellbeing (0-10)	Inequality of outcomes	Ecological Footprint (gha/capita)	Happy Planet Index
1	Costa Rica	Americas	79.1	7.3	15%	2.8	44.7
2	Mexico	Americas	76.4	7.3	19%	2.9	40.7
3	Colombia	Americas	73.7	6.4	24%	1.9	40.7
4	Vanuatu	Asia Pacific	71.3	6.5	22%	1.9	40.6
5	Vietnam	Asia Pacific	75.5	5.5	19%	1.7	40.3
6	Panama	Americas	77.2	6.9	19%	2.8	39.5
7	Nicaragua	Americas	74.3	5.4	25%	1.4	38.7
8	Bangladesh	Asia Pacific	70.8	4.7	27%	0.7	38.4
9	Thailand	Asia Pacific	74.1	6.3	15%	2.7	37.3
10	Ecuador	Americas	75.4	6	22%	2.2	37
11	Jamaica	Americas	75.3	5.6	21%	1.9	36.9
12	Norway	Europe	81.3	7.7	7%	5	36.8
13	Albania	Post-communist	77.3	5.5	17%	2.2	36.8
14	Uruguay	Americas	76.9	6.4	18%	2.9	36.1
15	Spain	Europe	82.2	6.3	10%	3.7	36
16	Indonesia	Asia Pacific	68.5	5.4	21%	1.6	35.7
17	El Salvador	Americas	72.5	5.9	22%	2.1	35.6
18	Netherlands	Europe	81.2	7.5	4%	5.3	35.3
19	Argentina	Americas	75.9	6.5	16%	3.1	35.2
20	Philippines	Asia Pacific	67.9	5	26%	1.1	35
21	Peru	Americas	74.1	5.8	21%	2.3	34.6
22	Palestine	Middle East and North Africa	72.6	4.6	24%	1.2	34.5
23	Brazil	Americas	73.9	6.9	22%	3.1	34.3
24	Switzerland	Europe	82.6	7.8	6%	5.8	34.3
25	Tajikistan	Post-communist	69	4.5	26%	0.9	34.2
26	Guatemala	Americas	71.4	5.9	27%	1.9	34.2
27	Belize	Americas	69.8	6.1	18%	2.5	33.8
28	Sri Lanka	Asia Pacific	74.6	4.2	17%	1.3	33.8
29	Venezuela	Americas	73.9	7.1	19%	3.6	33.6
30	Algeria	Middle East and North Africa	74.3	5.6	24%	2.1	33.3
31	Kyrgyzstan	Post-communist	69.7	5.2	18%	1.9	33.1
32	Denmark	Europe	79.8	7.5	7%	5.5	32.7
33	Morocco	Middle East and North Africa	73.4	5	25%	1.7	32.7
34	United Kingdom	Europe	80.4	6.9	9%	4.9	31.9
35	Chile	Americas	81.1	6.6	14%	4.4	31.7
36	Pakistan	Asia Pacific	65.7	5.1	40%	0.8	31.5
37	Finland	Europe	80.4	7.4	6%	5.9	31.3
38	New Zealand	Asia Pacific	81.4	7.2	8%	5.6	31.3
39	Iceland	Europe	82.2	7.6	5%	6.4	31.1
40	Georgia	Post-communist	74.6	4.3	20%	1.6	31.1
41	Cyprus	Europe	79.8	6.2	12%	4.2	30.7
42	Nepal	Asia Pacific	68.8	4.2	27%	1	30.5
43	Austria	Europe	81	7.4	7%	6.1	30.5
44	France	Europe	81.8	6.6	9%	5.1	30.4
45	Dominican Republic	Americas	73.1	4.8	30%	1.5	30.3
46	Malaysia	Asia Pacific	74.4	5.9	10%	3.7	30.3
47	Croatia	Post-communist	77	6	12%	3.9	30.2
48	Ireland	Europe	80.5	7	8%	5.6	30
49	Germany	Europe	80.6	6.7	8%	5.3	29.8
50	India	Asia Pacific	67.3	4.6	31%	1.2	29.2
51	Uzbekistan	Post-communist	68.2	6	30%	2.3	29.1
52	Serbia	Post-communist	74.5	5.2	19%	2.7	29
53	Malta	Europe	80.2	6	13%	4.4	29
54	Israel	Middle East and North Africa	81.9	7.1	8%	6.2	28.8
55	Romania	Post-communist	74.3	5.2	19%	2.7	28.8
56	Bhutan	Asia Pacific	68.7	5.6	27%	2.3	28.6
57	Haiti	Americas	62.1	4.4	37%	0.6	28.6
58	Japan	Asia Pacific	83.2	6	9%	5	28.3
59	Slovakia	Post-communist	75.9	5.9	13%	4.1	28.2
60	Italy	Europe	82.7	5.8	12%	4.6	28.1
61	Sweden	Europe	81.8	7.6	6%	7.3	28
62	Poland	Post-communist	76.9	5.9	11%	4.4	27.5
63	Mauritius	Sub Saharan Africa	74	5.5	17%	3.5	27.4
64	Czech Republic	Post-communist	78.2	6.3	9%	5.2	27.3
65	Honduras	Americas	72.8	4.6	31%	1.7	27.2
66	Ethiopia	Sub Saharan Africa	62.8	4.6	36%	1	26.7
67	Iraq	Middle East and North Africa	69	4.7	27%	1.9	26.5
68	Turkey	Middle East and North Africa	74.7	5.3	19%	3.3	26.4
69	Hungary	Post-communist	74.9	4.7	15%	2.9	26.4
70	Ukraine	Post-communist	70.3	5	17%	2.8	26.4
71	Tunisia	Middle East and North Africa	74.6	4.5	22%	2.3	26.2
72	China	Asia Pacific	75.4	5.1	17%	3.4	25.7
73	Armenia	Post-communist	74.4	4.3	22%	2.2	25.7
74	Cambodia	Asia Pacific	67.5	3.9	28%	1.2	25.6
75	Suriname	Americas	70.8	6.3	19%	4.3	25.4
76	Bosnia and Herzegovina	Post-communist	76.2	4.8	19%	3.1	25.3
77	Zambia	Sub Saharan Africa	58.4	5	41%	1	25.2
78	Montenegro	Post-communist	75.8	5.2	16%	3.8	25.1
79	Portugal	Europe	80.3	5	16%	3.9	24.8
80	South Korea	Asia Pacific	81.3	6	11%	5.7	24.8
81	Myanmar	Asia Pacific	65.5	4.4	32%	1.4	24.7
82	Slovenia	Post-communist	80	6.1	10%	5.8	24.6
83	Kenya	Sub Saharan Africa	60.3	4.5	38%	1	24.2
84	Iran	Middle East and North Africa	74.8	4.6	23%	2.8	24
85	Canada	Americas	81.7	7.4	9%	8.2	23.9
86	Egypt	Middle East and North Africa	70.7	4.2	23%	2.2	23.8
87	Belgium	Europe	80.4	6.9	9%	7.4	23.7
88	Mozambique	Sub Saharan Africa	54.3	5	43%	0.9	23.7
89	Greece	Europe	80.5	5.1	16%	4.4	23.6
90	Macedonia	Post-communist	75.1	4.6	18%	3.3	23.4
91	Paraguay	Americas	72.6	5.8	22%	4.2	23.3
92	Bolivia	Americas	67.5	6	35%	3	23.3
93	Comoros	Sub Saharan Africa	62.6	4	36%	1	23.1
94	Yemen	Middle East and North Africa	63.3	4.1	39%	1	22.8
95	Nigeria	Sub Saharan Africa	52.1	5.5	44%	1.2	22.2
96	Liberia	Sub Saharan Africa	60.2	4.4	38%	1.2	22.2
97	Tanzania	Sub Saharan Africa	63.5	4	33%	1.3	22.1
98	Malawi	Sub Saharan Africa	60.1	4.3	45%	0.8	22.1
99	Zimbabwe	Sub Saharan Africa	53.7	5	37%	1.4	22.1
100	Lebanon	Middle East and North Africa	78.8	4.6	19%	3.8	21.9
101	Senegal	Sub Saharan Africa	65.4	3.7	33%	1.2	21.9
102	Belarus	Post-communist	70.9	5.7	13%	5.1	21.7
103	Namibia	Sub Saharan Africa	64	4.7	26%	2.5	21.6
104	Ghana	Sub Saharan Africa	61	5.1	38%	2	21.4
105	Australia	Asia Pacific	82.1	7.2	8%	9.3	21.2
106	Oman	Middle East and North Africa	76.3	6.9	13%	7.5	21.1
107	Lithuania	Post-communist	72.8	5.8	11%	5.8	21
108	United States of America	Americas	78.8	7	13%	8.2	20.7
109	Bulgaria	Post-communist	73.9	4.2	19%	3.3	20.4
110	Afghanistan	Middle East and North Africa	59.7	3.8	43%	0.8	20.2
111	Rwanda	Sub Saharan Africa	63.1	3.3	37%	0.9	19.6
112	Uganda	Sub Saharan Africa	57.1	4.3	41%	1.2	19.4
