YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,AS,98,N407AS,ANC,SEA,5,2354.0,-11.0,21.0,15.0,205,194.0,169.0,1448,404.0,4.0,430,408.0,-22.0,0,0,,,,,,
2015,1,1,4,AS,135,N527AS,SEA,ANC,25,24.0,-1.0,11.0,35.0,235,215.0,199.0,1448,254.0,5.0,320,259.0,-21.0,0,0,,,,,,
2015,1,1,4,AS,108,N309AS,ANC,SEA,45,41.0,-4.0,17.0,58.0,204,194.0,173.0,1448,451.0,4.0,509,455.0,-14.0,0,0,,,,,,
2015,1,1,4,AS,122,N413AS,ANC,PDX,50,46.0,-4.0,11.0,57.0,215,201.0,187.0,1542,504.0,3.0,525,507.0,-18.0,0,0,,,,,,
2015,1,1,4,AS,130,N457AS,FAI,SEA,115,107.0,-8.0,25.0,132.0,213,218.0,186.0,1533,538.0,7.0,548,545.0,-3.0,0,0,,,,,,
2015,1,1,4,AS,136,N431AS,ANC,SEA,135,,,,,205,,,1448,,,600,,,0,1,A,,,,,
2015,1,1,4,AS,134,N464AS,ANC,SEA,155,140.0,-15.0,17.0,157.0,218,198.0,170.0,1448,547.0,11.0,633,558.0,-35.0,0,0,,,,,,
2015,1,1,4,AS,144,N514AS,ANC,PDX,200,150.0,-10.0,24.0,214.0,210,209.0,182.0,1542,616.0,3.0,630,619.0,-11.0,0,0,,,,,,
2015,1,1,4,AS,114,N303AS,ANC,SEA,220,209.0,-11.0,15.0,224.0,200,199.0,176.0,1448,620.0,8.0,640,628.0,-12.0,0,0,,,,,,
2015,1,1,4,AS,695,N607AS,GEG,SEA,500,456.0,-4.0,22.0,518.0,70,74.0,39.0,224,557.0,13.0,610,610.0,0.0,0,0,,,,,,
