Country,Code,Year,Traditional biofuels,"Other renewables (modern biofuels, geothermal, wave & tidal)",Wind,Solar PV,Hydropower,Total
Algeria,DZA,1965,,0,0,0,,0
Algeria,DZA,1966,,0,0,0,,0
Algeria,DZA,1967,,0,0,0,,0
Algeria,DZA,1968,,0,0,0,,0
Algeria,DZA,1969,,0,0,0,,0
Algeria,DZA,1970,,0,0,0,,0
Algeria,DZA,1971,,0,0,0,,0
Algeria,DZA,1972,,0,0,0,,0
Algeria,DZA,1973,,0,0,0,,0
Algeria,DZA,1974,,0,0,0,,0
Algeria,DZA,1975,,0,0,0,,0
Algeria,DZA,1976,,0,0,0,,0
Algeria,DZA,1977,,0,0,0,,0
Algeria,DZA,1978,,0,0,0,,0
Algeria,DZA,1979,,0,0,0,,0
Algeria,DZA,1980,,0,0,0,,0
Algeria,DZA,1981,,0,0,0,,0
Algeria,DZA,1982,,0,0,0,,0
Algeria,DZA,1983,,0,0,0,,0
Algeria,DZA,1984,,0,0,0,,0
Algeria,DZA,1985,,0,0,0,,0
Algeria,DZA,1986,,0,0,0,,0
Algeria,DZA,1987,,0,0,0,,0
Algeria,DZA,1988,,0,0,0,,0
Algeria,DZA,1989,,0,0,0,,0
Algeria,DZA,1990,,0,0,0,,0
Algeria,DZA,1991,,0,0,0,,0
Algeria,DZA,1992,,0,0,0,,0
Algeria,DZA,1993,,0,0,0,,0
Algeria,DZA,1994,,0,0,0,,0
Algeria,DZA,1995,,0,0,0,,0
Algeria,DZA,1996,,0,0,0,,0
Algeria,DZA,1997,,0,0,0,,0
Algeria,DZA,1998,,0,0,0,,0
Algeria,DZA,1999,,0,0,0,,0
Algeria,DZA,2000,,0,0,0,,0
Algeria,DZA,2001,,0,0,0,,0
Algeria,DZA,2002,,0,0,0,,0
Algeria,DZA,2003,,0,0,0,,0
Algeria,DZA,2004,,0,0,0,,0
Algeria,DZA,2005,,0,0,0,,0
Algeria,DZA,2006,,0,0,0,,0
Algeria,DZA,2007,,0,0,0,,0
Algeria,DZA,2008,,0,0,0,,0
Algeria,DZA,2009,,0,0,0,,0
Algeria,DZA,2010,,0,0,0.0091,,0.0091
Algeria,DZA,2011,,0,0,0.01811875,,0.01811875
Algeria,DZA,2012,,0,0,0.026723014,,0.026723014
Algeria,DZA,2013,,0,0,0.0286,,0.0286
Algeria,DZA,2014,,0,0.001,0.06,,0.061
Algeria,DZA,2015,,0,0.019,0.058,,0.077
Algeria,DZA,2016,,0,0.019052055,0.205,,0.224052055
Argentina,ARG,1965,,0,0,0,,0
Argentina,ARG,1966,,0,0,0,,0
Argentina,ARG,1967,,0,0,0,,0
Argentina,ARG,1968,,0,0,0,,0
Argentina,ARG,1969,,0,0,0,,0
Argentina,ARG,1970,,0.056198639,0,0,,0.056198639
Argentina,ARG,1971,,0.058971088,0,0,,0.058971088
Argentina,ARG,1972,,0.077863139,0,0,,0.077863139
Argentina,ARG,1973,,0.058667347,0,0,,0.058667347
Argentina,ARG,1974,,0.060378,0,0,,0.060378
Argentina,ARG,1975,,0.069018868,0,0,,0.069018868
Argentina,ARG,1976,,0.059888776,0,0,,0.059888776
Argentina,ARG,1977,,0.064670231,0,0,,0.064670231
Argentina,ARG,1978,,0.064089103,0,0,,0.064089103
Argentina,ARG,1979,,0.099736042,0,0,,0.099736042
Argentina,ARG,1980,,0.102146341,0,0,,0.102146341
Argentina,ARG,1981,,0.088290741,0,0,,0.088290741
Argentina,ARG,1982,,0.118389367,0,0,,0.118389367
Argentina,ARG,1983,,0.159832041,0,0,,0.159832041
Argentina,ARG,1984,,0.125501694,0,0,,0.125501694
