Country,Code,Year,Renewable electricity (% electricity production)
Afghanistan,AFG,1990,67.73049645
Afghanistan,AFG,1991,67.98029557
Afghanistan,AFG,1992,67.9943101
Afghanistan,AFG,1993,68.34532374
Afghanistan,AFG,1994,68.70451237
Afghanistan,AFG,1995,69.03703704
Afghanistan,AFG,1996,70.37037037
Afghanistan,AFG,1997,72.3880597
Afghanistan,AFG,1998,74.43609023
Afghanistan,AFG,1999,73.72262774
Afghanistan,AFG,2000,74.98909408
Afghanistan,AFG,2001,72.81145999
Afghanistan,AFG,2002,79.0639712
Afghanistan,AFG,2003,66.29098361
Afghanistan,AFG,2004,72.43589744
Afghanistan,AFG,2005,74.06181015
Afghanistan,AFG,2006,70.75575027
Afghanistan,AFG,2007,72
Afghanistan,AFG,2008,68.65482234
Afghanistan,AFG,2009,87.17660292
Afghanistan,AFG,2010,85.98654709
Afghanistan,AFG,2011,82.48756219
Afghanistan,AFG,2012,85.90998043
Afghanistan,AFG,2013,78.6364081
Afghanistan,AFG,2014,85.32354903
Albania,ALB,1990,86.40776699
Albania,ALB,1991,92.14248298
Albania,ALB,1992,95.05008839
Albania,ALB,1993,93.90762256
Albania,ALB,1994,95.68637402
Albania,ALB,1995,93.98613906
Albania,ALB,1996,95.72049482
Albania,ALB,1997,96.17444529
Albania,ALB,1998,96.32021922
Albania,ALB,1999,97.32915822
Albania,ALB,2000,96.14901632
Albania,ALB,2001,95.30831099
Albania,ALB,2002,93.95398609
Albania,ALB,2003,97.85657051
Albania,ALB,2004,97.5026757
Albania,ALB,2005,98.71394452
Albania,ALB,2006,98.31643736
Albania,ALB,2007,97.48251748
Albania,ALB,2008,100
Albania,ALB,2009,99.98077662
Albania,ALB,2010,99.98678647
Albania,ALB,2011,98.59222143
Albania,ALB,2012,100
Albania,ALB,2013,100
Albania,ALB,2014,100
Algeria,DZA,1990,0.838301043
Algeria,DZA,1991,1.689247622
Algeria,DZA,1992,1.088264246
Algeria,DZA,1993,1.818275471
Algeria,DZA,1994,0.834884072
Algeria,DZA,1995,0.978950038
