"State"	"Code"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"
"Alabama"	"AL"	"4785448"	"4798834"	"4815564"	"4830460"	"4842481"	"4853160"	"4864745"	"4875120"	"4887871"
"Alaska"	"AK"	"713906"	"722038"	"730399"	"737045"	"736307"	"737547"	"741504"	"739786"	"737438"
"Arizona"	"AZ"	"6407774"	"6473497"	"6556629"	"6634999"	"6733840"	"6833596"	"6945452"	"7048876"	"7171646"
"Arkansas"	"AR"	"2921978"	"2940407"	"2952109"	"2959549"	"2967726"	"2978407"	"2990410"	"3002997"	"3013825"
"California"	"CA"	"37320903"	"37641823"	"37960782"	"38280824"	"38625139"	"38953142"	"39209127"	"39399349"	"39557045"
"Colorado"	"CO"	"5048281"	"5121771"	"5193721"	"5270482"	"5351218"	"5452107"	"5540921"	"5615902"	"5695564"
"Connecticut"	"CT"	"3579125"	"3588023"	"3594395"	"3594915"	"3594783"	"3587509"	"3578674"	"3573880"	"3572665"
"Delaware"	"DE"	"899595"	"907316"	"915188"	"923638"	"932596"	"941413"	"949216"	"957078"	"967171"
"District of Columbia"	"DC"	"605085"	"619602"	"634725"	"650431"	"662513"	"675254"	"686575"	"695691"	"702455"
"Florida"	"FL"	"18845785"	"19093352"	"19326230"	"19563166"	"19860330"	"20224249"	"20629982"	"20976812"	"21299325"
"Georgia"	"GA"	"9711810"	"9801578"	"9901496"	"9973326"	"10069001"	"10181111"	"10304763"	"10413055"	"10519475"
"Hawaii"	"HI"	"1363963"	"1379252"	"1394905"	"1408453"	"1414862"	"1422484"	"1428105"	"1424203"	"1420491"
"Idaho"	"ID"	"1570773"	"1583828"	"1595441"	"1611530"	"1631479"	"1651523"	"1682930"	"1718904"	"1754208"
"Illinois"	"IL"	"12840762"	"12867291"	"12884119"	"12898269"	"12888962"	"12864342"	"12826895"	"12786196"	"12741080"
"Indiana"	"IN"	"6490436"	"6516045"	"6537640"	"6568367"	"6593533"	"6608296"	"6633344"	"6660082"	"6691878"
"Iowa"	"IA"	"3050767"	"3066054"	"3076097"	"3093078"	"3109504"	"3121460"	"3131785"	"3143637"	"3156145"
"Kansas"	"KS"	"2858213"	"2869035"	"2885361"	"2893510"	"2900896"	"2909502"	"2911263"	"2910689"	"2911505"
"Kentucky"	"KY"	"4348200"	"4369488"	"4386381"	"4404817"	"4414483"	"4425999"	"4438229"	"4453874"	"4468402"
"Louisiana"	"LA"	"4544532"	"4575184"	"4600814"	"4624577"	"4644204"	"4664851"	"4678215"	"4670818"	"4659978"
"Maine"	"ME"	"1327632"	"1328150"	"1327691"	"1328196"	"1330760"	"1328484"	"1331370"	"1335063"	"1338404"
"Maryland"	"MD"	"5788642"	"5838991"	"5887072"	"5923704"	"5958165"	"5986717"	"6004692"	"6024891"	"6042718"
"Massachusetts"	"MA"	"6566431"	"6613149"	"6663158"	"6713944"	"6763652"	"6795891"	"6826022"	"6863246"	"6902149"
"Michigan"	"MI"	"9877535"	"9881521"	"9896930"	"9913349"	"9930589"	"9932573"	"9951890"	"9976447"	"9995915"
"Minnesota"	"MN"	"5310843"	"5345668"	"5376550"	"5413693"	"5451522"	"5482503"	"5523409"	"5568155"	"5611179"
